Spreader Number,Time,Weibo Content,Retweet,Comment,Like
1,19:59:00,#四川雅江山火#【#四川雅江山火现场大量浓烟#】记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（央视新闻）L央视新闻的微博视频收起d,0,0,1
2,19:59:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。L中国消防的微博视频收起d,0,7,7
3,19:59:00,#雅江山火#【四川甘孜州雅江县发生山火，浓烟遮蔽整个火场】3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。（来源：央视新闻）O四川甘孜州雅江县发生山火，浓烟遮蔽整个火场收起d,1,0,0
4,19:59:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。#京团有话说#愿平安！（消息来源：@央视新闻）L中国消防的微博视频收起d,0,1,2
5,19:59:00,#雅江山火#【愿平安！#应急消防人员正全力扑救雅江山火#】记者从国家消防救援局了解到，3月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。南方护林总站5架直升机也已经出动，正在现场实施灭火作业。（央视）收起d,0,0,0
6,19:59:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,0,0,0
7,19:59:00,#雅江山火#【愿平安！#应急消防人员正全力扑救雅江山火#】记者从国家消防救援局了解到，3月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。南方护林总站5架直升机也已经出动，正在现场实施灭火作业。（央视）收起d,0,14,2
8,19:58:00,#四川甘孜雅江突发山火#根据最新的报道，四川省甘孜州雅江县呷拉镇白孜村在3月15日的下午17时许发生了一起森林火灾。火势非常猛烈，由于16日下午14时30分左右突然刮起了强风，瞬时风力达到了8级以上，导致火场东线因为大风而复燃，并且火势迅速向东北方向蔓延，甚至越过了多个山头。由于火势过大，浓烟遮蔽了整个火场，使得救援人员无法近距离观察火情，同时直升机和无人机也无法起飞进行救援。当地政府表示，这次山火主要是由于风引起的，目前正在进行扑救工作。请注意，由于火势较大，浓烟滚滚，现场的情况可能随时发生变化，建议您关注权威媒体的最新报道以获取最准确的信息。同时，也提醒大家注意防火安全，避免类似的事故再次发生。收起d,0,1,3
9,19:58:00,【#四川雅江山火目前未造成人员伤亡#周边无重要设施】#四川甘孜雅江突发山火#记者从国家消防救援局了解到，3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。（来源：央视新闻）@济南时报L济南时报的微博视频收起d,0,1,2
10,19:58:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,0,0,0
11,19:58:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（总台央视记者赵雨彤）O四川甘孜州雅江县发生山火L央视新闻的微博视频收起d,0,0,0
12,19:58:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,3,7,16
13,19:37:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,0,0,0
14,19:58:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,0,0,0
15,19:57:00,#雅江山火#【愿平安！#应急消防人员正全力扑救雅江山火#】记者从国家消防救援局了解到，3月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。南方护林总站5架直升机也已经出动，正在现场实施灭火作业。（央视）O四川甘孜州雅江县发生山火收起d,0,0,1
16,19:57:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（央视新闻）L央视新闻的微博视频收起d,2,17,24
17,19:57:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（总台央视记者赵雨彤）O四川甘孜州雅江县发生山火L央视新闻的微博视频收起d,0,0,0
18,19:57:00,【四川#雅江山火暂无人员伤亡报告#】#四川雅江山火目前火势很大#记者从国家消防救援局了解到，3月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。（央视新闻）#雅江山火#O四川甘孜州雅江县发生山火L封面新闻的微博视频收起d,7,18,10
19,19:57:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（央视新闻）L央视新闻的微博视频收起d,0,0,0
